iter	Logloss
0	0.6796983125
1	0.66699375
2	0.65513525
3	0.643786875
4	0.6337305625
5	0.62403125
6	0.6142130625
7	0.6045798125
8	0.5957523125
9	0.5869208125
10	0.5786345
11	0.570356375
12	0.5624203125
13	0.5551315
14	0.54832675
15	0.5414036875
16	0.534853375
17	0.52877225
18	0.5225194063
19	0.5164781875
20	0.510531625
21	0.5053527187
22	0.499722125
23	0.4948492812
24	0.4898968437
25	0.48499525
26	0.4801288125
27	0.4750049687
28	0.4703733438
29	0.4664091875
30	0.4624955
31	0.4586814687
32	0.454685
33	0.4506831875
34	0.4469231563
35	0.44362425
36	0.4399205313
37	0.437013375
38	0.4340553437
39	0.4311549687
40	0.4278641563
41	0.4247253437
42	0.422311125
43	0.4195246875
44	0.41711025
45	0.413945625
46	0.411316
47	0.408247
48	0.4055853125
49	0.4026255
50	0.40031075
51	0.3976375938
52	0.3952165625
53	0.3930765
54	0.390938625
55	0.3881865937
56	0.385620375
57	0.3827277188
58	0.3806463438
59	0.3782001562
60	0.3757328437
61	0.373198
62	0.37095425
63	0.3684680625
64	0.3665253438
65	0.36408125
66	0.3623314687
67	0.36012425
68	0.3583255312
69	0.3565341563
70	0.3545603125
71	0.3522904063
72	0.3504799375
73	0.3491127813
74	0.3475110625
75	0.3456415937
76	0.3437061563
77	0.3419312812
78	0.3401799688
79	0.338346125
80	0.3365133125
81	0.3350848438
82	0.3334388125
83	0.3321089375
84	0.3304151875
85	0.3290205313
86	0.3273419687
87	0.3257824062
88	0.324315375
89	0.3226126875
90	0.3211230937
91	0.319988875
92	0.3187670938
93	0.317540375
94	0.31632
95	0.3147600938
96	0.3135366875
97	0.3121342188
98	0.3107825
99	0.3096964688
100	0.3084086875
101	0.30739525
102	0.3059674688
103	0.3048722187
104	0.303713
105	0.3026291562
106	0.3014712813
107	0.2999405937
108	0.2990350625
109	0.2978597813
110	0.2970090938
111	0.2957506563
112	0.294783625
113	0.2937665625
114	0.2929683438
115	0.2920029375
116	0.2908197813
117	0.2898524687
118	0.2888616875
119	0.2878618125
120	0.2871578437
121	0.2860683438
122	0.2852387188
123	0.2844569375
124	0.283328125
125	0.2823652187
126	0.2813033125
127	0.2804779375
128	0.2794851875
129	0.2788215625
130	0.278119625
131	0.2772892813
132	0.2761261875
133	0.2751473125
134	0.2743747188
135	0.2735949062
136	0.2726064687
137	0.27163025
138	0.270862375
139	0.2700500625
140	0.2690108125
141	0.2680496562
142	0.2671035937
143	0.2661860938
144	0.2655716875
145	0.2648249062
146	0.2639714687
147	0.262914
148	0.2621440625
149	0.261195375
150	0.2605047031
151	0.2597616094
152	0.2591569531
