iter	Passed	Remaining
406	6065	8837
407	6080	8822
408	6094	8806
409	6109	8791
410	6123	8776
411	6137	8759
412	6152	8744
413	6166	8728
414	6181	8713
415	6195	8697
416	6209	8681
417	6224	8666
418	6238	8650
419	6252	8634
420	6267	8619
421	6282	8605
422	6296	8588
423	6311	8573
424	6325	8557
425	6340	8542
426	6354	8527
427	6368	8510
428	6382	8495
429	6397	8480
430	6411	8463
431	6424	8447
432	6439	8432
433	6454	8417
434	6469	8402
435	6484	8387
436	6498	8372
437	6512	8356
438	6526	8340
439	6541	8325
440	6556	8310
441	6570	8294
442	6584	8278
443	6599	8263
444	6613	8248
445	6627	8232
446	6642	8217
447	6657	8203
448	6672	8188
449	6687	8173
450	6702	8158
451	6716	8143
452	6730	8127
453	6745	8112
454	6759	8096
455	6774	8081
456	6788	8065
457	6802	8050
458	6816	8034
459	6831	8019
460	6845	8003
461	6861	7989
462	6875	7974
463	6889	7958
464	6903	7943
465	6918	7928
466	6933	7913
467	6947	7897
468	6961	7882
469	6976	7866
470	6989	7850
471	7003	7834
472	7017	7818
473	7032	7803
474	7047	7789
475	7061	7773
476	7076	7758
477	7090	7743
478	7105	7728
479	7119	7712
480	7133	7697
481	7148	7682
482	7162	7666
483	7177	7651
484	7191	7636
485	7205	7620
486	7220	7605
487	7235	7591
488	7250	7576
489	7264	7561
490	7279	7545
491	7293	7531
492	7308	7515
493	7322	7500
494	7337	7485
495	7351	7470
496	7366	7455
497	7381	7440
498	7395	7425
499	7410	7410
500	7424	7395
501	7439	7380
502	7454	7365
503	7469	7350
504	7485	7337
505	7500	7322
506	7515	7307
507	7529	7292
508	7544	7277
509	7559	7262
510	7573	7247
511	7587	7231
512	7602	7216
513	7616	7201
514	7631	7186
515	7645	7171
516	7660	7156
517	7674	7141
518	7688	7125
519	7703	7110
520	7718	7095
521	7732	7081
522	7746	7065
523	7761	7050
524	7775	7035
525	7789	7019
526	7804	7004
527	7818	6989
528	7833	6974
529	7847	6959
530	7861	6943
531	7876	6928
532	7890	6913
533	7905	6898
534	7919	6883
535	7933	6867
536	7947	6852
537	7962	6837
538	7977	6822
539	7991	6807
540	8005	6792
541	8019	6776
542	8034	6761
543	8048	6746
544	8062	6731
545	8077	6716
546	8092	6701
547	8106	6686
548	8120	6671
549	8135	6656
550	8149	6641
551	8164	6626
552	8178	6610
553	8193	6596
554	8208	6581
555	8222	6566
556	8237	6551
557	8251	6536
558	8266	6521
559	8280	6506
560	8295	6491
561	8309	6475
562	8324	6461
563	8338	6446
564	8352	6431
565	8367	6415
566	8381	6400
567	8395	6385
568	8410	6370
569	8424	6355
570	8438	6340
571	8453	6325
572	8467	6310
573	8482	6295
574	8497	6280
575	8511	6265
576	8525	6250
577	8539	6234
578	8553	6219
579	8567	6204
580	8582	6189
581	8596	6174
582	8610	6158
583	8625	6144
584	8640	6129
585	8654	6114
586	8668	6099
587	8683	6084
588	8697	6069
589	8712	6054
590	8726	6039
591	8740	6024
592	8754	6008
593	8769	5993
594	8783	5978
595	8798	5963
596	8812	5948
597	8826	5933
598	8840	5918
599	8855	5903
600	8869	5888
601	8884	5873
602	8898	5858
603	8912	5843
604	8927	5828
605	8941	5813
606	8957	5799
607	8972	5784
608	8987	5770
609	9001	5754
610	9015	5739
611	9029	5724
612	9044	5710
613	9059	5695
614	9073	5680
615	9087	5665
616	9102	5650
617	9116	5635
618	9130	5620
619	9145	5605
620	9159	5590
621	9174	5575
622	9190	5561
623	9205	5547
624	9220	5532
625	9234	5517
626	9249	5502
627	9263	5487
628	9277	5472
629	9292	5457
630	9306	5442
631	9322	5428
632	9336	5412
633	9350	5397
634	9363	5382
635	9378	5367
636	9392	5352
637	9407	5337
638	9421	5322
639	9436	5307
640	9450	5292
641	9464	5277
642	9479	5263
643	9493	5247
644	9508	5233
645	9522	5218
646	9537	5203
647	9551	5188
648	9566	5173
649	9580	5158
650	9594	5143
651	9608	5128
652	9623	5113
653	9637	5098
654	9651	5083
655	9665	5068
656	9679	5053
657	9693	5038
658	9708	5023
659	9722	5008
660	9736	4993
661	9751	4978
662	9765	4963
663	9779	4948
664	9793	4933
665	9807	4918
666	9822	4903
667	9836	4888
668	9850	4873
669	9865	4858
670	9878	4843
671	9894	4829
672	9909	4814
673	9923	4799
674	9937	4784
675	9952	4770
676	9966	4755
677	9980	4740
678	9995	4725
679	10009	4710
680	10023	4695
681	10038	4680
682	10052	4665
683	10067	4651
684	10082	4636
685	10096	4621
686	10111	4606
687	10125	4591
688	10140	4577
689	10154	4561
690	10168	4547
691	10183	4532
692	10198	4518
693	10213	4503
694	10228	4488
695	10242	4473
696	10257	4459
697	10271	4444
698	10286	4429
699	10300	4414
700	10315	4399
701	10329	4384
702	10344	4370
703	10359	4355
704	10374	4341
705	10388	4326
706	10403	4311
707	10417	4296
708	10432	4281
709	10447	4267
710	10461	4252
711	10476	4237
712	10491	4223
713	10505	4208
714	10519	4193
715	10534	4178
716	10548	4163
717	10563	4148
718	10577	4133
719	10592	4119
720	10606	4104
721	10621	4089
722	10635	4074
723	10649	4059
724	10663	4044
725	10678	4030
726	10692	4015
727	10706	4000
728	10721	3985
729	10735	3970
730	10750	3956
731	10765	3941
732	10779	3926
733	10793	3911
734	10807	3896
735	10823	3882
736	10838	3867
737	10852	3852
738	10867	3838
739	10881	3823
740	10895	3808
741	10910	3793
742	10925	3778
743	10939	3764
744	10953	3749
745	10968	3734
746	10982	3719
747	10996	3704
748	11010	3689
749	11024	3674
750	11039	3660
751	11053	3645
752	11067	3630
753	11081	3615
754	11095	3600
755	11109	3585
756	11124	3570
757	11138	3555
758	11152	3541
759	11166	3526
760	11181	3511
761	11195	3496
762	11210	3482
763	11225	3467
764	11239	3452
765	11254	3438
766	11268	3423
767	11282	3408
768	11297	3393
769	11311	3378
770	11326	3364
771	11340	3349
772	11354	3334
773	11368	3319
774	11382	3304
775	11397	3289
776	11411	3275
777	11426	3260
778	11440	3245
779	11455	3230
780	11469	3216
781	11484	3201
782	11498	3186
783	11512	3171
784	11526	3157
785	11541	3142
786	11555	3127
787	11569	3112
788	11584	3097
789	11598	3083
790	11613	3068
791	11627	3053
792	11641	3038
793	11655	3024
794	11669	3009
795	11684	2994
796	11698	2979
797	11712	2964
798	11726	2950
799	11741	2935
800	11756	2920
801	11771	2906
802	11785	2891
803	11800	2876
804	11815	2862
805	11828	2847
806	11842	2832
807	11857	2817
808	11872	2802
809	11886	2788
810	11901	2773
811	11931	2762
812	11946	2747
813	11960	2732
814	11974	2718
815	11988	2703
816	12003	2688
817	12017	2673
818	12032	2659
819	12046	2644
820	12061	2629
821	12077	2615
822	12091	2600
823	12105	2585
824	12120	2570
825	12134	2556
826	12149	2541
827	12163	2526
828	12178	2511
829	12192	2497
830	12207	2482
831	12221	2467
832	12235	2453
833	12250	2438
834	12265	2423
835	12279	2408
836	12293	2394
837	12308	2379
838	12323	2364
839	12337	2350
840	12352	2335
841	12366	2320
842	12380	2305
843	12395	2291
844	12410	2276
845	12424	2261
846	12439	2246
847	12452	2232
848	12467	2217
849	12482	2202
850	12496	2187
851	12510	2173
852	12524	2158
853	12538	2143
854	12553	2128
855	12567	2114
856	12582	2099
857	12597	2084
858	12612	2070
