name,price,manufacturer
1TB Intel 670p NVMe SSD @Newegg $83,$83,Newegg
EVGA Z12 RGB Gaming Keyboard $19.99,,EVGA
Select iPad Pro 12.9 inch latest gen (mid 2021) $200 off at Micro Center - Pick up in store only,$999.99,Micro Center
"Lenovo Flex 5 2-in-1 Touchscreen Laptop: 14"" FHD, Ryzen 7 5700U, 512GB SSD",$650,Costco Wholesale
1TB Western Digital My Passport USB 3.2 Gen2 SSD @Newegg $110,$110,Newegg
"1TB SAMSUNG 870 EVO 2.5"" SSD @Newegg $108",$108,Newegg
"Sandisk Ultra SATA III Interal SSD's: 1TB $80, 2TB $150 + free s/h at B&H Photo",$80,B&H Photo Video
Super Flower Leadex Platinum Special Edition 1000W Full Modular Power Supply for $159.99 w/ FS after Code,$159.99,Newegg
Luminar Neo for $49,$49,Skylum Luminar
Western Digital WD Black SN750 NVMe 2TB PCIe Gen 3 x4 Solid State Drive (3500 Read 3000 Write)$200 + Free Shipping,$200,Best Buy
"$399.99 - Lenovo IdeaPad 3i 15ITL6 15.6"" IPS Touchscreen Laptop - i5-1135G7; 8GB DDR4-3200 RAM (expandable); 256GB NVMe SSD, Backlit (Microcenter - In Store Only)",$399.99,Micro Center
"EVGA 500W Bronze Power Supplies BA Non-modular $30, BQ Semi-modular $35, 700W BQ $50 650W Platinum $90",$30,Best Buy
"HP - 17.3"" Laptop - AMD Ryzen 5 - 8GB Memory - 256GB SSD - Natural Silver $450 FS or Store Pickup",,Best Buy
"Back to $349.99: Asus VivoBook 15 laptop (i3 version): 15.6"" 1080p, i3-1115G4, 8GB RAM, 256GB SSD",$349.99,Office Depot and OfficeMax
Klipsch ProMedia 2.1 Bluetooth Computer Speakers,$84,Walmart
ASUS PRIME Z590-A LGA 1200 ATX Intel Motherboard + Intel Core i7-11700K Desktop Processor (COMBO) for $499.87 w/ FS,$499.87,Newegg
ADATA XPG S7 Series 1TB PCIe Gen 3 (3500/3000) x4 NVMe M.2 2280 Internal Solid State Drive $90,$90,Best Buy
NETGEAR Certified Refurbished Nighthawk Multi-Gig Speed Cable Modem DOCSIS 3.1 with Multi-IP support (CM1200) $90 after gift card+ Free Shipping $99.99,$99.99,Newegg
1TB XPG GAMMIX S70 Blade NVMe Gen4 SSD $130,$129.99,B&H Photo Video
TP Link X68 AX3600 Wifi 6 $40 off $239.97,$239.97,B&H Photo Video
"10 rolls of Sunlu 3D printer PETG filament 1.75mm (10x1kg, 22lbs in total) $99",$99,
WAVLINK UMD01 USB-C 4K Triple Display Multi-function Dock (+ $5 Newegg GC) for $52.99 w/ FS,$52.99,Newegg
"Lenovo Yoga Duet 7i, 13"" UHD touch, 450 nits, 16 GB ram, 1 TB SSD, $845.49",$845.49,Lenovo
"Dell Inspiron 15 3000 Laptop: 15.6"" 1080p, i3-1115G4, 4GB DDR4, 128GB NVMe - $329.99 (or Less w/ SD Cashback) + Free S/H",$329.99,Dell Home & Office
"Acer Swift 5 Touch Laptop: i7-1165G7, 16GB, 1TB SSD, 14"" 1080p, Intel Iris Xe $900 + free s/h at B&H Photo",$900,B&H Photo Video
"MSI GP66 Leopard 11UH 15.6"" 2 Laptops 2 models RTX 3080 16GB  Intel Core i7 11800H 1TB SSD $1749 and $1799 after $100 MIR","$1,799",Newegg
"Samsung Chromebook 4 11.6"", Intel Celeron N4020, 4GB RAM, 32GB SSD, Chrome OS, Platinum Titan, XE310XBA $119",$119,Walmart
Seasonic Focus PX-850 850W 80+ Platinum Fully Modular Power Supply for $110.99 after MIR w/ FS,$110.99,Newegg
Toshiba Canvio Basics 4TB External Hard Drive for $79.99 w/ FS after code,$79.99,Newegg
Microsoft Full Size Bluetooth Mechanical Keyboard w/ Mouse Bundle (Black or Glacier),$30,Best Buy
"ASUS® ZenScreen™ MB14AC 14"" FHD LED Portable Monitor $169.99 Sale Reg. $229.99",$169,Office Depot and OfficeMax
"Lenovo Ideapad 3i 15"" Laptop, Intel Pentium 7505, 4GB Memory, 256 SSD, Windows 11 Home (82H801EJUS) - In Store Only $249.99",$249.99,Staples
Corsair 4000D Airflow Tempered Glass Case (white) @Newegg $80,$80,Newegg
