name,price,manufacturer
"Costco: HP Envy, 13.3 1080, i7 11th, windows 11, $799 (member price)",$799,Costco Wholesale
Wacom Intuos Pro Creative Medium Tablet + 12-Month Adobe Creative Cloud Photography,$249,B&H Photo Video
"Lenovo Ideapad Flex 5 2-in-1 Touch Laptop, 14"" FHD, Ryzen 3, 4GB RAM, 128GB SSD",$349,Walmart
Western Digital 1TB WD Blue SN550 NVMe Internal M2 SSD  with C&C coupon $78.99,$78.99,Amazon
GIGABYTE B560 HD3 LGA 1200 ATX Intel Motherboard for $89.99 w/ FS,$89.99,Newegg
Belkin RT3200 AX3200 WiFi6 802.11ax Router (OpenWRT Compatiable) - $79.99 with FS,,Belkin
"MSI Optix 27"" Class FHD IPS Gaming Monitor $199.99",$199.99,Costco Wholesale
Crucial Ballistix RGB 3600 MHz DDR4 DRAM 16gb 8x2 $72.99,$72.99,Amazon
WD BLACK 500GB SN750 SE NVMe™ SSD Battlefield™ 2042 PC Game Code Bundle $89,$89,Walmart
Microsoft - Sculpt Comfort Wireless Optical Mouse - Black $14.99 Free Pickup,$14.99,Best Buy
Crucial Ballistix Max RGB 16GB (2 x 8GB) DDR4-4400 PC4-35200 CL19 Dual Channel Desktop Memory Kit BLM2K8G44C19U4BL - Black - Micro Center $81.99,$81.99,Micro Center
750W be quiet! Straight Power 11 80Plus Platinum Power Supply $99.9,$99.90,Newegg
be quiet! 250W TDP Dark Rock Pro 4 CPU Cooler (+ $5GC) $69.90@Newegg,$69.90,Newegg
1TB Western Digital WD Blue SN550 NVMe SSD @Newegg $79,$79,Newegg
OLOy 64GB (2 x 32GB) 288-Pin DDR4 SDRAM DDR4 3600 / CL18 Desktop Memory for $209.99 w/ FS,$209.99,Newegg
"32"" Dell S3222DGM 1440p 165Hz 1ms VA Curved FreeSync Monitor $300",$300,Dell Home & Office
"HP OMEN 27"" IPS LED QHD FreeSync & G-Sync Compatible Gaming Monitor (DisplayPort, HDMI, USB) Shadow Black OMEN 27i - $369.99",$369.99,Best Buy
"HP Victus 16t Laptop: 16.1"" FHD 144Hz, i5-11400H, RTX 3050 Ti, 8GB RAM, 256GB SSD",$760,HP
"Asus VivoBook 15: 15.6"" 1080p, i3-1115G4, 8GB RAM, 256GB SSD",$350,Office Depot and OfficeMax
"500W EVGA 500 GD, 80+ Gold Power Supply $40",$40,Amazon
Network Analyzer Pro (Android App),$1,Google Play
Microsoft Bluetooth Mouse Pastel Blue $10.79 FS w/Prime,$10.79,Amazon
Fractal Design Vector RS Dark Tinted TG ATX Mid Tower Case $135 $134.99,$134.99,Newegg
Crucial Ballistix Max RGB 16GB (2 x 8GB) DDR4-4400 PC4-35200 - $81.99,$81.99,Micro Center
Netgear Orbi SXK80 Series Sale: SXK80-100NAS $580 after promo code $& More $579.99,$579.99,Newegg
Creality Cr-10 Smart 3D printer clearance (new in box) free shipping no tax $459,$459,
"MSI Optix G272 27"" 1080p 144Hz 1ms IPS FreeSync Gaming Monitor @ $174 + F/S at Walmart",$174,Walmart
"ASUS AX6000 WiFi 6 Cable Modem Dual Band, DOCSIS 3.1 Wireless Router Combo (CM-AX6000) for $269.99 w/ FS after Code",$269.99,Newegg
TP-Link AX5400 Dual Band Wifi 6 Router $150,$150,Amazon
Team T-Force Delta RGB 16GB DDR4 3200 CL16 Desktop Memory for $62.99 w/ FS $62.97,$62.97,Newegg
be quiet! Dark Rock 4 CPU Cooler with Silent Wings $57.4,$57.40,Newegg
"Lenovo Yoga 6 2-in-1 Laptop: Ryzen 7 5700U, 13.3"" 1080p, 16GB DDR4, 512GB SSD",$750,Best Buy
"Prometheus XVI Ryzen 9 NVIDIA RTX 3080 16.0"" 16:10 165Hz QHD HDR 2560x1600, 16gb RAM, 512gb NVME hd Gaming Laptop $1999.91 at Eluktronics","$1,999.91",
"28"" Acer Nitro VG281K bmiipx UHD LED Gaming Monitor for $229",$229,Office Depot and OfficeMax
"HP 15-ef1082nr 15.6"" Laptop Computer -Silver; AMD Ryzen 3 3250U 2.6GHz Processor; 8GB DDR4-2400 RAM; 256GB Solid State - $349.99",$349.99,Micro Center
"24"" ASUS VG248QG 1080p 165Hz G-Sync Gaming Monitor $169.99 + FS @ Gamestop",$169.99,GameStop
"Sabrent SSDs: Gen4 TLC: 2TB $245, 1TB $110.50, Gen3 QLC: 2TB $170, 1TB",$85,Amazon
TP-link Archer AX55 AX3000 Dual Band Gigabit Wi-Fi 6 Router $109.99,$109.99,Amazon
"Gateway Ultra Slim Notebook: 14.1"" 1080p, i5-1135G7, 16GB RAM, 512GB SSD",$429,Walmart
"3 Pack - PNY 64GB Elite-X Class 10 U3 V30 microSDXC 100MB/s, Class 10, U3, V30, A1, 4K UHD, Full HD, UHS-I $21.99",$21.99,Amazon
Target-Microsoft Bluetooth Mouse Forest Camo - Wireless Connectivity - Bluetooth Connectivity - Swift Pair for easy pairing - 33ft Wireless Range - $15.99,$15.99,Target
"GIGABYTE G27Q 27"" 144Hz 1440P Gaming Monitor, 2560 x 1440 IPS Display, 1ms (MPRT) Response Time, 92% DCI-P3, VESA Display HDR400, FreeSync Premium $259.99",$259.99,Newegg
"NinjaTek TPU Filaments, 1.75mm, Many are 41% OFF = Most are $18.00 for SAS",$18,Amazon
"Costco Members: Apple Mac Mini w/ M1 Chip, 256GB SSD, 8GB RAM (Late 2020 Model)",$570,Costco Wholesale
"AsusTUF i5, RTX 3050, 8GB, 512GB SDD $799",$799,Walmart
Lenovo Thinkpad 11e Yoga Gen 6 (11'') $350,$350,Lenovo
Creality CR-10 Smart Comgrow $319.00 shipped USA $319.00,$319,
"Gigabyte AORUS 15P YD: 15.6"" FHD 300Hz, i7-11800H, 32GB DDR4, RTX 3080, 1TB Gen 4 PCIe SSD, Win10H @ $1899 + F/S","$1,899",Newegg
ASUS RP-AC1900 AC1900 Dual Band Wi-Fi Range Extender / AiMesh Extender $83,$83,Newegg
Gaming Mouse Pad With Non-slip Base and Stitched Edge for $7.99 + Free Shipping,$7.99,Slashare
Dell active stylus PN350M $26.99,$26.99,Walmart
"Logitech G MX518 16,000 DPI 8-Button Wired Optical Gaming Mouse",$20,Best Buy
Apple Smart Folio for iPad Mini (2021) $39.99 - white,$39.99,Walmart
Dual and Triple Monitors Trio Mobile Pixels Free shipping @ Mobilepixels $205.99,$205.99,
Acer ConceptD 3 Ezel 2-in-1 Laptop $1099.00,"$1,099",B&H Photo Video
WD_BLACK 2TB SN750 NVMe SSD w/Heatsink - Gen3 PCIe $220 free shipping,$220,Amazon
"Amazon (Prime) has ADATA Legend 840 1TB PCIe Gen4 x4 NVMe Up to 5,000 MB/s (ALEG-840-1TCS) - $109 after $40 coupon",$109,Amazon
Hyperx Quadcast S USB microphone for $119 + free shipping from official hyperx store,$119,
MSI Stealth GS66 Laptop - 11th Gen Intel Core i9-11900H - GeForce RTX 3070 - 240Hz - 2560 x 1440 $1999.99,"$1,999.99",Costco Wholesale
Cooler Master AMD Wraith Ripper ThreadRipper TR4 High Performance CPU Air Cooler RGB $29.99 AR FS,$29.99,Newegg
Seasonic FOCUS GM-650 650W 80+ Gold Power Supply @Newegg (AR) $49,$49,Newegg
"~3 hrs left: EASEUS All-in-One Bundle Lifetime License (Free Upgrades), incl. Data Recovery Pro, Backup, PC Trans, Partition Master, Disk Copy",$100,EaseUs
"20lbs of COEX 3D Printer Filament (PLA, PETG, PLA+, ABS, Flex, You Name It) for $157.47",$157.47,
Huion Kamvas 16 (2021 model) $402 - $103 coupon $299,$299,Amazon
AMD Ryzen 5 5600X Vermeer 3.7GHz 6-Core Processor - In store only Microcenter $249.99,$249.99,Micro Center
Poly Plantronics Speakerphone and Polycom Video Cyber Week Deals $89,$89,
128GB Samsung Pro Endurance U1 microSDXC Memory Card w/ Adapter,$19,Best Buy
1000W EVGA SuperNova P3 80+ Platinum Power Supply @Newegg (AR) $160,$160,Newegg
HP EX950 1TB NVMe Gen 3 SSD - $93.49,$93.49,Amazon
Lenovo 10e Chromebook Tablet Keyboard Folio Case - US English $28.49,$28.49,Lenovo
Intel Core i7-11700K Rocket Lake 3.6GHz Eight-Core LGA 1200 Processor - In store only Microcenter $249.99,$249.99,Micro Center
"FastestVPN Lifetime Subscription for 20 Logins, Plus 2TB Cloud Storage and Password Manager $16.60",$16.60,Daily Steals
Elgato Key Light Air (2-pack) for $198 + tax w/ FS @ corsair.com,$198,Corsair
Cyber Monday - Time for Smart Savings @ Dell - Save up to 50% off!,,Dell Technologies
"PIA VPN 3 yr plan $79; Existing PIA customers, $69 after $10 coupon. YMMV - $79",$79,Private Internet Access
TP-Link Archer A20 AC4000 Wireless Tri-Band Gigabit Router + $10 B&H E-Gift Card $110 + free s/h,$110,B&H Photo Video
QNAP TS-653D-4G 6 Bay NAS @ Amazon for $549.99 (After Clipon Coupon),$549.99,Amazon
"Gigabyte G34WQC 34"" 21:9 FreeSync UWQHD 144Hz Gaming Monitor @Newegg  $449",$449,Newegg
"Lenovo Ideapad 5 Pro 14"" $800 Ryzen 7 5800U 16GB 512MB $799.99",$799.99,Micro Center
Photo Mechanic 6 on sale for $129 or $69 for upgrade,$129,
"32"" QHD Monitor with HDR support Monitors - LS32A600NWNXGO - $300",$300,Samsung
GeIL ORION RGB AMD Edition 32GB (2 x 16GB) 288-Pin DDR4 3200 CL18 - $93 AC @Newegg,$93,Newegg
"27"" LG 27GL850-B UltraGear QHD IPS 1ms LED FreeSync G-Sync Monitor $347 + Free Shipping",$347,Amazon
HP ENVY x360 Convertible Laptop-13z-ay100 ryzen 5 5600u 8gb DDR4 13.3&quot; touch 400 nits 1920x1080 256gb m2 HP tilt pen $649.99,$649.99,HP
PNY XLR8 CS3040 1TB M.2 NVMe Gen4 x4 SSD $125 or $130 with heatsink free shipping,$124.99,Best Buy
Edifier Big Sale. Free $120 W860NB ANC over ear headphones if you spend 200$,,
Apple Mac Mini M1 - 16GB Memory - 1TB SSD $1149 @ B&H (Cyber Monday savings $150),"$1,149",B&H Photo Video
Samsung EDU offer: PRO Endurance microSD Memory Card 128GB + FS  $18.04,$18.04,Samsung
MasterLiquid ML280 Mirror ARGB Close-Loop AIO CPU Liquid Cooler @Newegg $55 (AR)  or less,$55,Newegg
"27"" Odyssey G7 Gaming Monitor(2k,260hz,1ms response,HDR600,Freesync/Gsync) - $419.99 (+sales tax)  w/ Samsung Discount Program",$419.99,Samsung
"Seasonic FOCUS GX-750, 750W 80+ Gold, Full-Modular Power Supply SSR-750FX $90.99",$90.99,Amazon
Monoprice Cat6 75' ethernet cable $10.99 at Amazon,,Amazon
"be quiet! Straight Power 11 650W Platinum, 80 PLUS Platinum Modular Power Supply $74.90",$74.90,Newegg
"MOUNTUP $27.99 Pink Single Monitor Mount Adjustable Desk Arm for 17""-32"" Monitors with Clip Coupon + Free Shipping",$27.99,Amazon
Logitech G610 Orion Red Backlit Mechanical Gaming Keyboard - $59/99/FS @ Amz or Dell,,
Humble Bundle: Photo Editing to the Max Software Bundle (PC Digital Download),from $1,Humble Bundle
Razer Kraken V3 X Gaming Headset: 7.1 Surround Sound $44.99,$44.99,Amazon
G.SKILL Trident Z Neo Series 32GB (2 x 16GB) 288-Pin RGB CL16 16-19-19-39 / DDR4 3600 Desktop RAM $164.99,$164.99,Newegg
Verbatim USB-C Adaptor Hubs: 6-in-1 100W PD Hub Adapter + 6' Monster 4K HDMI Cable,$25,Amazon
Intel Core i7-12700K Alder Lake 3.6GHz Twelve-Core LGA 1700 Boxed Processor $349.99,$349.99,Micro Center
Thermaltake Water 3.0 LGA 2011-3 AM4 Support 280 Riing RGB Edition 140mm RGB PWM Fan AIO Liquid Cooling System 3 Year Warranty CL-W138-PL14SW-A $76.55,$76.55,Amazon
"Razer Blade 14"" 165hz with Nvidia 3070 $2000.99 at Microsoft Store","$2,000.99",Microsoft Store
"Costco: $150 Off ASUS 14"" C424MA Chromebook - FHD Celeron N4020 4GB RAM 128GB Storage $199",$199,Costco Wholesale
ASUS ROG STRIX GS-AX3000  AX3000 Dual Band Gaming Router @Newegg $165,$165,Newegg
"EVGA SuperNOVA 850 G6, 80 Plus Gold 850W, Fully Modular $99.99",$99.99,EVGA
TP-LINK Archer-C50-RB AC1200 Dual Band Wireless AC Router - Certified Refurbished - $19.99,$19.99,Deal Parade
Montech X2 MESH White ATX Mid-Tower Case w/ 3 LED Fans (pre-installed) $41.90,$41.90,Newegg
Select Walmart Stores: 1TB Toshiba Canvio Ready USB 3.2 Gen 1 Hard Drive,$25,Walmart
"Acer Nitro 5 AN515 Laptop: 15.6"" FHD 144Hz IPS, Ryzen 7 5800H, RTX 3060, 16GB DDR4, 512GB PCIe SSD, Win10H @ $1099.99 + F/S","$1,099.99",Acer
UDM Pro SE in Stock $499,$499,
TP-Link RE603X-RB AX1750 Wi-Fi 6 Range Extender - Certified Refurbished - $54.99,$54.99,Deal Parade
TP-Link Archer-C4000 Wireless AC4000 MU-MIMO Tri-Band Router - $99.99,$99.99,Deal Parade
Lenovo Select FHD Webcam -  $21.99 w/ Free Shipping @ Lenovo,$21.99,Lenovo
AMD Ryzen 9 5900X (Zen 3) 12-Core 3.7 GHz Socket AM4 105W Desktop Processor for $483.99,$483.99,Newegg
"YMMV Lenovo Chromebook Duet 10.1"" - $99.00",$99,Walmart
MSI Summit E13FlipEvo A11MT-023 notebook $1099,"$1,099",Newegg
Acer Predator GM3500 M.2 1TB SSD PCIe GEN 3.0 x 4 NVMe 1.4 - $90,$90,Amazon
QNAP TR-004-US 4 Bay USB Type-C DAS Expansion with Hardware RAID (Diskless) $175,,Newegg
Logitech C270 HD Webcam - $19.98 @ Amazon,$19.98,Amazon
PHI VILLA Ergonomic PU Leather High Back Computer Chair starts from $130+FS $140,$140,Alphamarts
Many EVGA power supplies on sale,,EVGA
OLOy Blade 16GB (2 x 8GB) 288-Pin RAM DDR4 3600 (PC4 28800) 14-14-14-34 & more,,Newegg
20% off Refurbished Products on Corsair.com with Promo Code: RF202,,Corsair
Multiple EVGA power supplies on sale,,EVGA
LIAN LI O11 AIR MINI Black or White (plus $10) $109.95,$109.95,Newegg
TP-Link RE315-RB AC1200 Dual-Band Wireless Mesh Wi-Fi Range Extender - Certified Refurbished - $17.99,$17.99,Deal Parade
"Amazon Tablets (Refurbished): 32GB Fire HD 8 Plus Tablet (2020 release, 10th Gen)",$45,Woot!
"Kano PC Pro Laptop Education Edition: Intel Celeron N4000, 11.6"", 64GB eMMC, 4GB RAM",$100,eBay
"SAMSUNG 32"" White M5 FHD Smart Monitor - Sam's Club $199",$199,Sam's Club
"870 qvo sata iii 2.5"" ssd 2tb $162",$162,Samsung
"Brookstone PhotoShare 14"" Smart Digital Picture Frame $50 off + Free Shipping $149.99",$149.99,
16gb (8x2) ddr4 3200Mhz G.Skill Ram for laptop $50,$50,Newegg
4-Pack Apple AirTags Item Location Trackers $86.97 + tax (if OOS online select In-Store pickup) YMMV at Walmart,$86.97,Walmart
"HP 15-DY2013DS Laptop, 15.6"" Touch Screen, Intel® Core™ i3, 8GB Memory, 256 Solid State Drive, Wi-Fi 6, Win 10 home $399.99",,Office Depot and OfficeMax
TP-Link RE205-RB AC750 750Mbps Wi-Fi Dual Band Range Extender - Certified Refurbished - $12.99,$12.99,Deal Parade
"Brookstone PhotoShare 10.1"" Frame + Free Photo Book Voucher (gift with purchase) $144.99 + Free Shipping",$144.99,
"Zagg Nomad book IPAD Detachable, Wireless Keyboard & Case with an Adjustable Fit, Black $19.99 shipped",,Zagg
"Gateway 15.6"" Ultra Slim Notebook (Refurb): i3-1115G4, 1080p, 256GB SSD, 8GB RAM",$249,Walmart
Microsoft Ergonomic Keyboard + Mouse - $49.99 w/ free shipping,$49.99,Amazon
TP-Link Archer-C20-RB AC750 Dual Band Wi-Fi Router - Certified Refurbished - $19.99,$19.99,Deal Parade
"LG Gram 17 inch Intel i7, 1tb nvme, 16gb RAM, Super lightweight 2.98lb,  ~19 hour battery, Thunderbolt 3, $1323 @ Newegg  / Adorama","$1,331.99",Newegg
25% off TechSmith Snagit and Camtasia and More $47.24,$47.24,TechSmith
Amazon Basics Dual Monitor Stand -$134.99,$134.99,Amazon
"OtterBox Defender Series Pro Case for Apple iPad 9th gen, 8th gen, and 7th gen - Black $67.45",$67.45,Walmart
Atari VCS Onyx Bundle game console / mini-pc- $279.99,$279.99,GameStop
"OtterBox Defender Series Pro Case for Apple iPad 9th gen, 8th gen, and 7th gen - Black $67.45",$67.45,Walmart
Atari VCS Onyx Bundle game console / mini-pc- $279.99,$279.99,GameStop
Canon PIXMA TS3522 Wireless AIO Printer w/ Glossy Photo Paper,$39,Walmart
Dungeons & Dragons and other TTRPG digital tools - D&D Beyond and more,,Humble Bundle
PreSonus AudioBox 96 Studio Complete Hardware/Software Recording Kit,$150,Adorama
"27"" LG 27GN880-B UltraGear QHD Nano IPS 1ms 144Hz HDR Monitor w/ Ergo Stand",$319,BuyDig
Yoga 7i (15”) - Slate Grey | Lenovo US $930 $930,$930,Lenovo
Tex Shinobi (Thinkpad) Mechanical Keyboard @mechanical keyboards $166.5,$166.50,
Microsoft Bluetooth Mouse – Glacier $11.99 FS w/Prime,$11.99,Amazon
Patriot Viper Steel DDR4 16GB (2 x 8GB) 4400MHz @ XMP 2.0 enabled Tested Timings: 19-19-19-39 Performance Memory Kit - PVS416G440C9K $99.99,$99.99,Amazon
AdGuard Family Plan Lifetime Subscription (9 Devices),$18,StackSocial
HP Spectre x360 Convertible Laptop - 16t-f000 (39R27AV_1) $1079.99,"$1,124.99",HP
MOUNTUP Universal Freestanding Single Monitor Stand for max 32 inch Screen $16.79 + Free Shipping,$16.79,Amazon
Seagate BarraCuda 2TB Internal Hard Drive HDD – 3.5 Inch SATA 6Gb/s 7200 RPM 256MB Cache 3.5-Inch – Frustration Free Packaging $46.99,$46.99,Amazon
HP ENVY x360 Convertible Laptop - 15z-eu000 touch - Ryzen 5 5500U 8GB RAM - Starting at $649 plus 5% with Coupon $617.49,$617.49,HP
"~3 hrs left: EASEUS All-in-One Bundle Lifetime License (Free Upgrades), incl. Data Recovery Pro, Backup, PC Trans, Partition Master, Disk Copy",$100,EaseUs
"20lbs of COEX 3D Printer Filament (PLA, PETG, PLA+, ABS, Flex, You Name It) for $157.47",$157.47,
Huion Kamvas 16 (2021 model) $402 - $103 coupon $299,$299,Amazon
AMD Ryzen 5 5600X Vermeer 3.7GHz 6-Core Processor - In store only Microcenter $249.99,$249.99,Micro Center
Poly Plantronics Speakerphone and Polycom Video Cyber Week Deals $89,$89,
Intel Core i7-12700K Alder Lake 3.6GHz Twelve-Core LGA 1700 Boxed Processor - In Store Only MicroCenter $349.99,$349.99,Micro Center
128GB Samsung Pro Endurance U1 microSDXC Memory Card w/ Adapter,$19,Best Buy
1000W EVGA SuperNova P3 80+ Platinum Power Supply @Newegg (AR) $160,$160,Newegg
HP EX950 1TB NVMe Gen 3 SSD - $93.49,$93.49,Amazon
NETGEAR - Orbi RBK12 AC1200 Mesh WiFi System with Router and Satellite Extender $64 at Walmart YMMV,,Walmart
Microsoft 365 Personal 3 Months YMMV $6.99,$6.99,Microsoft Store
Lenovo 10e Chromebook Tablet Keyboard Folio Case - US English $28.49,$28.49,Lenovo
Intel Core i7-11700K Rocket Lake 3.6GHz Eight-Core LGA 1200 Processor - In store only Microcenter $249.99,$249.99,Micro Center
"FastestVPN Lifetime Subscription for 20 Logins, Plus 2TB Cloud Storage and Password Manager $16.60",$16.60,Daily Steals
Elgato Key Light Air (2-pack) for $198 + tax w/ FS @ corsair.com,$198,Corsair
Cyber Monday - Time for Smart Savings @ Dell - Save up to 50% off!,,Dell Technologies
"PIA VPN 3 yr plan $79; Existing PIA customers, $69 after $10 coupon. YMMV - $79",$79,Private Internet Access
Lenovo X1 Yoga 6th Gen with Bose Sport Earbuds (Bose Certified Refurbished) $1199,"$1,199",Lenovo
TP-Link Archer A20 AC4000 Wireless Tri-Band Gigabit Router + $10 B&H E-Gift Card $110 + free s/h,$110,B&H Photo Video
QNAP TS-653D-4G 6 Bay NAS @ Amazon for $549.99 (After Clipon Coupon),$549.99,Amazon
"Gigabyte G34WQC 34"" 21:9 FreeSync UWQHD 144Hz Gaming Monitor @Newegg  $449",$449,Newegg
WD_BLACK SN750 SE NVMe SSD Battlefield 2042 Game Bundle 1TB - $120 AC @Gamestop,$120,GameStop
"Lenovo Ideapad 5 Pro 14"" $800 Ryzen 7 5800U 16GB 512MB $799.99",$799.99,Micro Center
Photo Mechanic 6 on sale for $129 or $69 for upgrade,$129,
"32"" QHD Monitor with HDR support Monitors - LS32A600NWNXGO - $300",$300,Samsung
GeIL ORION RGB AMD Edition 32GB (2 x 16GB) 288-Pin DDR4 3200 CL18 - $93 AC @Newegg,$93,Newegg
"27"" LG 27GL850-B UltraGear QHD IPS 1ms LED FreeSync G-Sync Monitor $347 + Free Shipping",$347,Amazon
HP ENVY x360 Convertible Laptop-13z-ay100 ryzen 5 5600u 8gb DDR4 13.3&quot; touch 400 nits 1920x1080 256gb m2 HP tilt pen $649.99,$649.99,HP
i7 12700k $350,$350,Micro Center
Cooler Master SickleFlow 120 V2 ARGB 120mm Cooler Fan 3-pk@Newegg (AR) $35,$35,Newegg
Corsair iCUE 4000X RGB Tempered Glass Mid Tower Case @Newegg $110,$110,Newegg
Seasonic Focus PX-850 850W 80+ Platinum Modular Power Supply @Newegg (AR/AC) $110,$110,Newegg
Elgato Products 10% off Wave:3 $105 before tax,,Corsair
PNY XLR8 CS3040 1TB M.2 NVMe Gen4 x4 SSD $125 or $130 with heatsink free shipping,$124.99,Best Buy
Edifier Big Sale. Free $120 W860NB ANC over ear headphones if you spend 200$,,
Apple Mac Mini M1 - 16GB Memory - 1TB SSD $1149 @ B&H (Cyber Monday savings $150),"$1,149",B&H Photo Video
Samsung EDU offer: PRO Endurance microSD Memory Card 128GB + FS  $18.04,$18.04,Samsung
MasterLiquid ML280 Mirror ARGB Close-Loop AIO CPU Liquid Cooler @Newegg $55 (AR)  or less,$55,Newegg
HP Laptop -15t-dw300 $369.99 (was $599.99) + xtra 5% off accessories @ hp.com - Free Shipping,,HP
Babbel Language Learning: Lifetime Subscription (All Languages) $179,$179,StackSocial
"Lenovo IdeaPad Slim 9i 82D2000QUS 14"" Laptop $999",$999,Microsoft Store
NordVPN 72% OFF Black Friday,$79,NordVPN
"1-Year Quicken Home and Business (Windows/Mac Download) ""New Subscribers Only"" on sale for $39.99",$39.99,Newegg
Netgear CM1200 DOCSIS 3.1 Multi-Gig Cable Modem + FS $150,$150,B&H Photo Video
"Lenovo 10.1"" 2-in-1 Chromebook Duet 3 64GB $179 free shipping",$179,Office Depot and OfficeMax
Various Lenovo Laptop/Tablet Sleeves - starting at $6.39 Free Shipping,$6.39,Lenovo
2TB Portable SSD for $164.99,$164.99,GameStop
Samsung - Odyssey Gaming CRG5 Series 24” LED Curved FHD FreeSync Monitor - Black - Black $149.99,$149.99,Best Buy
"Firewalla (Cybersecurity Firewall For Home): Red @ 109, Blue @ 169, Blue+ @ 194, Gold @ 438 $109.99",$109.99,
Logitech Keys-To-Go - Keyboard - Bluetooth $44.99,$44.99,Dell Home & Office
Malwarebytes 50% to 60% Off $16,$16,Malwarebytes
Netgear Orbi AX1800 Whole Home Mesh System - Router and 3X Satellites $298.96,$298.96,Netgear
NETGEAR WAX204-100NAS AX1800 Dual Band Access Point @Newegg $59 plus free shipping,$59,Newegg
Wellbots - GRYPHON AX ADVANCED SECURITY AND PARENTAL CONTROL TRI-BAND MESH WIFI 6 SYSTEM $213 FS AC $213.3,$213.30,Wellbots
FastestVPN: Lifetime VPN Service Subscription (15 Multi Logins),$16.60,FastestVPN
1Password Password Manager $125 Gift Card for $99,$99,1Password
"Acer 315 Chromebook: Celeron N4020, 15.6"" 1080p Touchscreen, 4GB RAM, 64GB eMMC",$217,Walmart
Sabrent 4TB Rocket Q4 NVMe PCIe 4.0 M.2 2280  w/Heatsink (SB-RKTQ4-HTSS-4TB) - $599,$599,Amazon
Elgato Stream Deck MK.2 plus free faceplate $139,$139,Corsair
Cooler Master MasterLiquid ML120L V2 RGB AIO Liquid CPU Cooler @Newegg (AR) $45,$45,Newegg
SYNOLOGY RT2600ac Wi-Fi AC 2600 Gigabit Router @Newegg $160,$160,Newegg
Roon - 3 months for $1 until 11/29,,
"HP Omen 16z Laptop: 16.1"" QHD 165Hz IPS, Ryzen 7 5800H, RTX 3070, 16GB DDR4, 512GB PCIe SSD, Win11H @ $1466.99 + F/S","$1,466.99",HP
Creality Halot-One 3d resin printer $189,$189,Amazon
Amazon NETGEAR - R7000P-100NAS Nighthawk WiFi Router - AC2300 $109.99,$109.99,Amazon
"LG gram 16"" 2-in-1 Touchscreen Intel Evo Platform Laptop - 11th Gen Intel Core i7-1165G7 - WQXGA - 2560 x 1600 Display - Windows 11 $1199.97","$1,199.97",Costco Wholesale
Razer Huntsman Mini Optical Gaming Keyboard - $59.99 - Free shipping for Prime members - $59.99,$59.99,Woot!
"Inateck M.2 NVMe SSD Enclosure, USB 3.2 Gen 2, with 2 x Cable of Type A/Type C, $16.99, 35% Off",$16.99,Amazon
PrivateVPN $72 for 3 yrs. That's $2 a month.,,
"Inateck M.2 NVMe SSD Enclosure, USB 3.2 Gen 2, with 2 x Cable of Type A/Type C, $16.99, 35% Off",$16.99,Amazon
PrivateVPN $72 for 3 yrs. That's $2 a month.,,
"Lenovo ThinkPad X1 Yoga Gen 6 Intel (14"") $1389 Doorbuster","$1,389",Lenovo
Native Instruments MASSIVE X Software Synthesizer at Sweetwater $99.5,$99.50,Sweetwater Audio
"ViewSonic Gaming Monitor blowout sale | 27"" IPS 144hz for $200, 27"" 2K 144hz for $229, and more",$199.99,Newegg
"HP Sprocket Select Portable 2.3x3.4"" Instant Photo Printer $74.99 @ Amazon",$74.99,Amazon
Saitek X52 Flight Control System / HOTAS - $127.09 + FS at Office Depot,$127.09,Office Depot and OfficeMax
Samsung SSD T7 Touch AND  BAR Plus USB 3.1 Flash Drive 128GB Titan Grey $139.44,$139.44,Samsung
"iFixit black friday sale, up to 25% off some toolkits",,iFixit
ASUS RT-AX88U AX6000 Dual-Band Gigabit Router - BHPhotoVideo.com $259.99,$259.99,B&H Photo Video
Inateck Keyboard for iPad/iPad Pro/iPad Air with Hundreds of Backlight - From $25.99 – Up to 40% Off + Free Shipping,,Amazon
"AXM AXM-2768 Gaming Monitor [27"", AHVA, 2560 x 1440 (2K), 12 ms, 60 Hz] $173",$173,Newegg
"CORSAIR RM Series (2021), RM850, 850 Watt, 80 Plus Gold Certified, Fully Modular Power Supply - $111.99 + FS",$111.99,Amazon
B&H: Up to $210 Off Select ASUS Gaming Monitors + Free Shipping,,B&H Photo Video
Dell - Lowest Business Prices of the Year - Save up to 50% off!,,Dell Technologies
$30 off Logitech Circle View Doorbell & M100 Corded Mouse $177.98,$177.98,Logitech
AMD Ryzen 9 5900X 3.7 GHz 12-Core AM4 Processor $441 + Free Shipping - Newegg $441.15,$441.15,Newegg
50% Off Individuals or Families for the 1st Year at 1Password,,1Password
AirVPN Black Friday 2021 Sale - up to 74% off,,
"Corsair SF Series, SF450, 450 Watt, SFX, 80+ Platinum Certified, Fully Modular Power Supply (CP-9020181-NA) - $94.99 + FS",$94.99,Amazon
"GIGABYTE B550 AORUS PRO & AORUS PRO AC for $179.99, plus more AMD and Intel options",,Newegg
Crucial Ballistix 3200 MHz DDR4 DRAM Laptop Gaming Memory Kit 32GB (16GBx2) CL16 - $100 AC,$100,Newegg
"Lenovo Ideapad Slim 7i 14"" (1980 X 1080) IPS, 11th Gen Intel EVO i5-1135G7, 8GB memory, 512GB SSD $599",$599,Microsoft Store
The Black Friday Mega Lifetime Bundle: StackSkills + VPN Unlimited + Infosec4TC + Stone River $75,$75,StackSocial
